Year,CO2_By_Source
1973,23676
1974,23688
1975,23700
1976,23712
1977,23724
1978,23736
1979,23748
1980,23760
1981,23772
1982,23784
1983,23796
1984,23808
1985,23820
1986,23832
1987,23844
1988,23856
1989,23868
1990,23880
1991,23892
1992,23904
1993,23916
1994,23928
1995,23940
1996,23952
1997,23964
1998,23976
1999,23988
2000,24000
2001,24012
2002,24024
2003,24036
2004,24048
2005,24060
2006,24072
2007,24084
2008,24096
2009,24108
2010,24120
2011,24132
2012,24144
2013,24156
2014,24168
2015,24180
2016,24192
2017,24204
2018,24216
2019,24228
2020,24240
2021,24252
2022,24264
2023,24276
2024,24288
